Czy wykonywal zadanie;Eeg Power Delta;Eeg Power Theta;Eeg Power Low Alpha;Eeg Power High Alpha;Eeg Power Low Beta;Eeg Power High Beta;Eeg Power Low Gamma;Eeg Power High Gamma;Attention Level;Meditation Level
0;2033187;208793;80121;26638;38233;76565;13214;22529;53;53
0;46892;21087;75508;27439;12672;11154;4741;3377;47;77
0;732788;133862;11687;11663;10232;17560;4194;4326;44;67
0;308498;54549;15593;20711;31531;26789;2966;4654;63;67
0;889130;269148;272108;32489;23238;31097;10943;14315;34;67
0;228880;244210;208314;35276;20386;34028;15688;21354;30;54
0;234305;605534;120631;118945;30643;52331;14301;11850;17;64
0;841294;64425;13763;7387;10532;15226;18973;3029;8;61
0;1312541;303277;137309;19968;29610;41824;10551;14262;16;51
0;148306;72029;21474;20025;10816;8388;1758;4482;20;44
0;1013899;718819;206430;23017;24492;58603;6914;4330;20;43
0;578199;220593;7088;20392;28361;27378;4886;4372;8;30
0;964299;74663;80216;42891;18676;23934;3233;2116;13;43
0;781635;95251;32165;28102;32064;28077;10378;11308;29;41
0;212751;160363;114837;27321;46391;8332;6231;14406;24;51
0;2074426;141636;122128;38558;43133;14091;3313;20490;14;77
0;1061030;351065;120188;60602;20959;67419;10300;11579;21;64
0;179063;114686;59781;12068;10490;5010;2150;5415;1;67
0;432397;107298;19013;12294;5473;12209;6738;2924;13;56
0;163399;35638;2906;5517;5404;2389;574;990;17;41
0;894099;339351;54574;30312;35543;25587;11303;17332;7;34
0;675512;57011;33214;11266;8349;7479;1457;1994;23;34
0;924452;104192;11428;23227;6372;4692;1699;12102;10;37
0;548715;181576;50752;54856;11382;26185;2568;9118;16;44
0;669225;64631;33400;12802;4712;11984;3410;14258;23;57
0;1516981;78404;21351;21896;10729;4405;1097;867;13;54
0;342234;418366;147640;232517;141758;92633;16968;11648;30;63
0;1361844;76057;111766;104777;306403;122347;24671;10969;30;63
0;1212049;76350;70127;125997;31346;114233;80966;24641;30;63
0;214727;113293;25515;107483;72080;49479;10773;2366;43;66
0;623989;54827;10635;5918;27622;17866;2264;880;43;66
0;558154;27584;13365;7719;16276;8160;1025;973;43;66
0;259286;56412;21884;34735;27462;42126;4539;988;43;66
0;834226;17012;10882;11961;13926;8134;3942;1005;0;0
0;1197383;600636;9859;143341;76030;145327;9678;8366;0;0
0;491243;49681;7967;8840;11221;6663;1895;1865;0;0
0;219939;4810;3949;7753;2801;3707;1150;337;0;0
0;286478;74266;32614;54337;46648;24673;10612;4546;0;0
0;193349;69076;35893;32706;21390;18319;2092;725;0;0
0;2096695;329548;73380;67656;30615;91172;15023;5254;0;0
0;604095;404335;85770;23646;44346;32604;8303;7152;34;51
0;2081504;238581;108883;58056;98606;39082;1693;5120;44;48
0;502860;391907;68310;96063;52961;50788;10573;7858;40;38
0;818107;86948;59088;38486;2896;4364;3582;9054;10;44
0;1355896;167435;58942;68799;31689;30911;13318;26160;21;57
0;643791;462763;144349;27840;9825;38319;8377;30353;17;53
0;272785;47567;4533;1599;1328;2874;6108;5332;13;37
0;375888;386423;38358;19260;18090;21733;16612;22104;24;7
0;1058977;16256;24774;30697;34753;16938;15479;22971;37;11
0;1742859;74669;7070;5836;6449;9638;3902;5103;61;21
0;251093;129676;15530;12330;7284;16928;2492;6157;75;24
0;66502;6747;4384;2240;2772;603;543;449;48;23
0;881007;168177;57973;50269;19155;5244;4008;13850;21;23
0;0;0;0;0;0;0;0;0;-1;-1
0;655972;108383;89530;93775;63910;98266;7590;4543;20;41
0;1497586;108167;16338;9748;3935;7890;1446;787;20;41
0;1005443;540908;122993;153610;66958;14799;11296;5685;20;41
0;656725;273441;17703;63997;95608;54972;16835;6407;20;41
0;629201;87041;2863;25233;15002;31672;6217;2181;35;43
0;411648;75714;77952;20755;22367;27520;12979;1615;56;44
